hip,x0,y0,z0,spect
1.0,219.741,0.003,4.177,F3 V
2.0,35.176,0.003,-12.456,K3 V
3.0,260.197,0.023,209.648,B9
4.0,84.386,0.013,-107.596,F0 V
5.0,291.448,0.051,-249.724,G8 III
7.0,53.711,0.021,19.588,G0
8.0,591.718,0.282,287.15,M6e-M8.5e Tc
9.0,259.014,0.16,192.263,G5
10.0,58.97,0.037,-72.478,F6 V
11.0,202.931,0.132,217.16,A2
12.0,446.169,0.318,-323.688,K4 III
13.0,383.367,0.279,-159.539,K0 III
14.0,166.758,0.141,-1.049,A5/8
15.0,250.34,0.22,306.85,K2
17.0,113.987,0.101,-96.3,F3 V
19.0,176.114,0.164,139.106,G5
20.0,91.082,0.1,39.659,G0
21.0,282.164,0.327,39.692,K2
22.0,134.244,0.164,-156.362,G8/K0 III/IV
23.0,90.693,0.118,21.459,F 2 V
24.0,84.152,0.112,-36.508,G0 V
25.0,58.243,0.081,-56.818,G3 IV
26.0,101.099,0.148,-24.073,F7 V
27.0,84.968,0.127,-74.64,G5 V
28.0,165.434,0.252,-156.235,F3/5 V
29.0,314.594,0.506,-363.279,G8 III
30.0,279.428,0.469,252.85,A0
31.0,503.261,0.862,23.517,K3 III
32.0,625.2,1.076,798.481,B8
33.0,110.811,0.192,-20.462,F3/5 V
34.0,55.557,0.097,28.208,F 8 V
35.0,181.487,0.326,-46.904,G8/K0 III/IV
36.0,164.47,0.297,35.762,K0
39.0,83.205,0.163,-24.958,F3 V
38.0,7.608,0.015,-39.369,G6 V
41.0,350.95,0.714,488.44,A0
42.0,147.055,0.322,71.231,F2
43.0,64.007,0.144,108.922,G 9 III-IV
44.0,259.636,0.602,-14.999,K0 III
45.0,20.057,0.047,-62.479,G6/8 (V)
46.0,308.138,0.724,-147.783,K1 III
48.0,274.684,0.648,-236.187,K0/1 III
49.0,274.033,0.668,82.053,F5
50.0,36.318,0.091,-48.367,G0/2 IV
51.0,330.787,0.828,6.156,G8 IV
52.0,47.63,0.122,-206.64,A4 V
55.0,26.552,0.074,-61.604,G2 IV/V
56.0,598.661,1.702,2.329,K3 III
57.0,10.178,0.03,-27.48,K2 V
58.0,17.88,0.054,33.878,G0
59.0,1148.928,3.498,1685.692,K7
60.0,65.445,0.2,-136.997,F2 IV
61.0,105.598,0.325,144.399,K5
62.0,232.96,0.732,-236.424,G8 III
63.0,126.196,0.4,127.318,A0P
64.0,233.242,0.751,-123.535,K2 III
66.0,36.113,0.119,-113.283,F2 V
67.0,127.732,0.444,55.641,F5
68.0,30.207,0.106,9.228,K0
69.0,149.226,0.525,87.537,A0
71.0,120.621,0.436,90.172,G5
72.0,85.283,0.327,-19.421,G3/5 V
73.0,128.925,0.496,301.505,K2
74.0,34.084,0.132,24.539,K5
75.0,311.325,1.213,-376.952,K4 III
76.0,655.088,2.609,422.594,M0
77.0,201.518,0.811,-116.648,A0 V
78.0,476.997,1.934,153.772,K0
79.0,212.095,0.873,150.266,F5
80.0,69.596,0.295,-14.569,G2 V
81.0,44.859,0.191,-3.871,G5 V
82.0,1056.122,4.572,-204.067,G5
83.0,587.017,2.542,753.536,M0
84.0,46.702,0.206,24.713,K0
86.0,109.922,0.5,295.631,B9
87.0,202.442,0.924,-20.688,F3 II/III
88.0,98.647,0.463,-112.724,G6/8 III
89.0,254.344,1.23,339.584,K2
90.0,84.488,0.413,-75.775,F5 IV/V
91.0,296.475,1.452,-30.504,K3 III
92.0,388.139,1.969,-146.71,G8 III
93.0,63.653,0.325,-0.085,G3 V
95.0,146.473,0.772,-31.038,F5 V
98.0,81.3,0.436,-107.105,F6/7 V
97.0,156.894,0.842,-61.5,F5 V
99.0,233.017,1.285,409.445,C91
100.0,173.336,0.957,62.205,G0
101.0,168.579,0.941,-185.879,F5 IV/V
102.0,224.178,1.254,-198.251,M1 III
103.0,40.504,0.228,-102.153,F6 V
104.0,82.906,0.473,-51.605,F7 V
105.0,96.33,0.551,278.643,F0
106.0,156.244,0.9,186.085,K0
107.0,118.761,0.692,-143.24,M2 III
108.0,237.486,1.395,-656.966,K3 II/III
109.0,189.237,1.145,22.537,F0
110.0,39.842,0.242,32.973,K 0 V
113.0,483.639,3.086,556.578,A0
114.0,101.238,0.657,60.198,G0IV
115.0,115.1,0.748,-225.154,A2 IV
116.0,107.377,0.703,-71.865,F3 V
117.0,164.917,1.095,-526.452,G8 III
118.0,78.174,0.527,-12.984,F7 V
119.0,115.3,0.785,114.004,K0
120.0,354.733,2.451,-359.037,K1 IIICNIV
121.0,206.545,1.429,111.792,K1III
122.0,14.483,0.101,-63.063,K3 III
123.0,52.556,0.367,164.055,K0
124.0,348.205,2.457,633.995,A5II
125.0,118.364,0.836,-97.009,F2 V
